List,TestOrder,TrialID,Type,Verb,TargetAnimal,TargetInstrument,DistractorAnimal,DistractorInstrument,ta,ti,da,di,soundID
1,55,28,Equi,feed,duckling,lollipop,butterfly,crayon,duckling_lollipop,lollipop,butterfly_crayon,crayon,89
1,56,45,Inst,whack,cow,fan,bear,fork,cow_fan,fan,bear_fork,fork,62
1,57,7,mod,choose,cow,barrette,panda,feather,cow_barrette,barrette,panda_feather,feather,40
1,58,23,Inst,poke,pig,spoon,cow,feather,pig_spoon,spoon,cow_feather,feather,94
1,59,18,Inst,smack,leopard,flute,zebra,stick,leopard_flute,flute,zebra_stick,stick,6
1,60,48,mod,find,lion,towel,bunny,sponge,lion_towel,towel,bunny_sponge,sponge,97
1,61,f23,filler,make,zebra,leaf,penguin,train,zebra_leaf,leaf,penguin_train,train,124
1,62,f21,filler,fly,turtle,flower,bird,toy,turtle_flower,flower,bird_toy,toy,122
1,63,20,Inst,hit,mouse,tube,bunny,hat,mouse_tube,tube,bunny_hat,hat,32
1,64,f18,filler,take,pig,straw,ladybug,net,pig_straw,straw,ladybug_net,net,118
1,65,51,mod,pet,lion,tongs,cow,fan,lion_tongs,tongs,cow_fan,fan,63
1,66,f6,filler,make,cow,flute,bear,stick,cow_flute,flute,bear_stick,stick,129
1,67,12,Inst,bop,elephant,spoon,turtle,leaf,elephant_spoon,spoon,turtle_leaf,leaf,96
1,68,24,mod,select,squirrel,towel,hippo,book,squirrel_towel,towel,hippo_book,book,17
1,69,f15,filler,give,lion,fan,panda,napkin,lion_fan,fan,panda_napkin,napkin,115
1,70,25,Inst,clean,turtle,leaf,leopard,candle,turtle_leaf,leaf,leopard_candle,candle,76
1,71,53,mod,select,zebra,partyhat,chicken,leaf,zebra_partyhat,partyhat,chicken_leaf,leaf,22
1,72,36,Equi,spot,bird,pencil,camel,tube,bird_pencil,pencil,camel_tube,tube,53
1,73,21,Equi,pinch,panda,toothbrush,pig,flower,panda_toothbrush,toothbrush,pig_flower,flower,7
1,74,46,mod,choose,squirrel,pen,dolphin,sponge,squirrel_pen,pen,dolphin_sponge,sponge,41
1,75,f1,filler,put,bear,fork,dolphin,microphone,bear_fork,fork,dolphin_microphone,microphone,109
1,76,33,Equi,pinch,leopard,hat,butterfly,towel,leopard_hat,hat,butterfly_towel,towel,90
1,77,14,mod,hug,giraffe,umbrella,squirrel,sponge,giraffe_umbrella,umbrella,squirrel_sponge,sponge,51
1,78,f19,filler,make,squirrel,sponge,hippo,chopsticks,squirrel_sponge,sponge,hippo_chopsticks,chopsticks,119
1,79,4,Inst,rub,butterfly,crayon,bunny,pencil,butterfly_crayon,crayon,bunny_pencil,pencil,9
1,80,3,mod,squeeze,bunny,hat,pig,spoon,bunny_hat,hat,pig_spoon,spoon,58
1,81,26,mod,cuddle,whale,pen,turtle,flower,whale_pen,pen,turtle_flower,flower,61
2,1,p1,Practice,Use,bird,mitten,chicken,cup,bird_mitten,mitten,chicken_cup,cup,133
2,2,p2,Practice,Wave,camel,hat,fish,flag,camel_hat,hat,fish_flag,flag,134
2,3,p3,Practice,Touch,frog,shell,butterfly,towel,frog_shell,shell,butterfly_towel,towel,135
2,4,22,Equi,pointto,penguin,funnel,lion,hat,penguin_funnel,funnel,lion_hat,hat,10
2,5,49,mod,hug,panda,umbrella,bird,pencil,panda_umbrella,umbrella,bird_pencil,pencil,28
2,6,f5,filler,make,camel,hat,whale,flute,camel_hat,hat,whale_flute,flute,128
2,7,27,Equi,feed,zebra,lollipop,dog,flower,zebra_lollipop,lollipop,dog_flower,flower,85
2,8,44,Inst,tease,leopard,crayon,lion,fan,leopard_crayon,crayon,lion_fan,fan,98
2,9,8,Equi,pat,dog,pencil,horse,spoon,dog_pencil,pencil,horse_spoon,spoon,107
2,10,f2,filler,drag,bear,stick,squirrel,pen,bear_stick,stick,squirrel_pen,pen,120
2,11,9,Inst,tease,dog,lollipop,whale,necklace,dog_lollipop,lollipop,whale_necklace,necklace,70
2,12,5,Equi,locate,camel,straw,elephant,crayon,camel_straw,straw,elephant_crayon,crayon,60
2,13,f3,filler,have,bunny,brush,camel,tube,bunny_brush,brush,camel_tube,tube,126
2,14,50,mod,lookat,chicken,spoon,camel,hat,chicken_spoon,spoon,camel_hat,hat,46
2,15,11,mod,pickout,duckling,net,horse,bottle,duckling_net,net,horse_bottle,bottle,71
2,16,19,Equi,spot,lion,pencil,bear,fork,lion_pencil,pencil,bear_fork,fork,27
2,17,f4,filler,make,butterfly,towel,hippo,fork,butterfly_towel,towel,hippo_fork,fork,127
2,18,f17,filler,drag,panda,fork,bird,pencil,panda_fork,fork,bird_pencil,pencil,117
2,19,6,Equi,scuff,chicken,flower,cow,fan,chicken_flower,flower,cow_fan,fan,52
2,20,42,Inst,smack,dog,flute,elephant,clip,dog_flute,flute,elephant_clip,clip,55
2,21,17,Equi,feel,leopard,pen,elephant,spoon,leopard_pen,pen,elephant_spoon,spoon,11
2,22,34,Equi,pointto,fish,leaf,duckling,straw,fish_leaf,leaf,duckling_straw,straw,83
2,23,35,Equi,scuff,pig,cup,bird,pencil,pig_cup,cup,bird_pencil,pencil,48
2,24,f12,filler,get,hippo,book,penguin,straw,hippo_book,book,penguin_straw,straw,112
2,25,10,mod,pet,dolphin,tongs,pig,spoon,dolphin_tongs,tongs,pig_spoon,spoon,77
2,26,2,mod,find,bird,towel,duckling,lollipop,bird_towel,towel,duckling_lollipop,lollipop,33
2,27,39,Inst,hit,frog,tube,duckling,lollipop,frog_tube,tube,duckling_lollipop,lollipop,20
2,28,f8,filler,use,dolphin,net,frog,cup,dolphin_net,net,frog_cup,cup,131
2,29,43,Inst,strike,elephant,umbrella,bird,mitten,elephant_umbrella,umbrella,bird_mitten,mitten,34
2,30,54,mod,squeeze,zebra,hat,cow,barrette,zebra_hat,hat,cow_barrette,barrette,74
2,31,f22,filler,take,whale,flute,zebra,book,whale_flute,flute,zebra_book,book,123
2,32,f11,filler,make,giraffe,lollipop,fish,funnel,giraffe_lollipop,lollipop,fish_funnel,funnel,111
2,33,f13,filler,take,horse,fan,turtle,toothbrush,horse_fan,fan,turtle_toothbrush,toothbrush,113
2,34,13,Equi,knockon,frog,sponge,zebra,leaf,frog_sponge,sponge,zebra_leaf,leaf,38
2,35,15,mod,lookat,horse,leaf,bunny,brush,horse_leaf,leaf,bunny_brush,brush,91
2,36,41,Inst,rub,panda,crayon,camel,hat,panda_crayon,crayon,camel_hat,hat,108
2,37,f14,filler,take,leopard,funnel,chicken,leaf,leopard_funnel,funnel,chicken_leaf,leaf,114
2,38,16,Inst,whack,ladybug,fan,dog,crayon,ladybug_fan,fan,dog_crayon,crayon,82
2,39,52,mod,pickout,ladybug,straw,chicken,leaf,ladybug_straw,straw,chicken_leaf,leaf,4
2,40,f10,filler,make,elephant,clip,whale,pen,elephant_clip,clip,whale_pen,pen,110
2,41,29,Equi,feel,bear,candle,butterfly,towel,bear_candle,candle,butterfly_towel,towel,65
2,42,32,Equi,pat,leopard,flower,bear,pen,leopard_flower,flower,bear_pen,pen,8
2,43,30,Equi,knockon,bunny,feather,dog,crayon,bunny_feather,feather,dog_crayon,crayon,102
2,44,f24,filler,have,zebra,stick,elephant,clip,zebra_stick,stick,elephant_clip,clip,125
2,45,f7,filler,wiggle,dog,funnel,panda,fork,dog_funnel,funnel,panda_fork,fork,130
2,46,38,Inst,clean,dog,leaf,chicken,cup,dog_leaf,leaf,chicken_cup,cup,104
2,47,f20,filler,have,turtle,partyhat,mouse,tube,turtle_partyhat,partyhat,mouse_tube,tube,121
2,48,40,Inst,poke,bunny,spoon,butterfly,towel,bunny_spoon,spoon,butterfly_towel,towel,101
2,49,f9,filler,give,duckling,net,giraffe,umbrella,duckling_net,net,giraffe_umbrella,umbrella,132
2,50,37,Inst,bop,panda,spoon,dolphin,microphone,panda_spoon,spoon,dolphin_microphone,microphone,69
